lens_id,jurisdiction,date_published,doc_key,publication_type,publication_reference_jurisdiction,publication_reference_kind,publication_reference_date,application_reference_jurisdiction,application_reference_kind,application_reference_date,priority_claims_earliest_claim_date,invention_title,numApplicants,numInventors,references_cited_patent_count,references_cited_npl_count,priority_claim_jurisdiction,abstract,abstract_lang,owner,title_lang
004-575-306-270-621,CN,2018-12-04,CN_208179937_U_20181204,LIMITED_PATENT,CN,U,2018-12-04,CN,U,2018-04-18,2018-04-18,A grit material recovery unit for concrete production,1,1,,,CN,"The utility model provides a grit material recovery unit for concrete production, is including stirring the storehouse, and the lower extreme in stirring storehouse is equipped with the unloading pipe, is equipped with two spinal branch pipes on the unloading pipe, and two spinal branchs are managed and are concrete output tube and useless water outlet pipe respectively, useless water outlet pipelower extreme with deposit the storehouse top and be connected, be equipped with the otter board in deposiing the storehouse, be equipped with water pump on the otter board, the last circulating pipethat is equipped with of water pump, circulating pipe one end is connected with water pump, the other end is connected with the lateral wall that stirs the storehouse, the sediment storehouse bottom plate that deposits the storehouse passes through articulated shaft swing joint and is deposiing the storehouse bottom, sediment storehouse below be equipped with defeated material belt, defeated material belt passes the setting in the stoving storehouse. Adopt above -mentioned structure, the grit material recovery that can realize stirring in the waste water after the storehouse is washd is recycled to be arranged in concrete production once more with water for washing after deposiing, realized green's concrete production operation more.",en,,en
004-842-485-838-270,CN,2023-01-13,CN_218286153_U_20230113,LIMITED_PATENT,CN,U,2023-01-13,CN,U,2022-09-15,2022-09-15,Green concrete production metering system,1,5,,,CN,"The utility model discloses a green concrete production metering system, and belongs to the technical field of concrete production. A lifting plate mechanism is installed at the bottom of the material storage barrel, a driving electric cylinder is in transmission connection with a lifting plate through a telescopic rod, the driving electric cylinder drives the telescopic rod to retract, the telescopic rod synchronously drives the lifting plate to be lifted upwards and attached to the bottom of the material storage barrel, materials in the material storage barrel are blocked, and it is avoided that part of concrete falls into the weighing barrel when the weighing barrel weighs the concrete. Concrete mixing and weighing are not accurate due to the fact that the weight of the concrete is not accurate, the quality of the processed concrete does not meet the requirement, and the concrete needs to be processed again. A plurality of sensors are installed on the periphery of the weighing barrel and detect the mass change in the weighing barrel at the same time, the detection result is more accurate, the sensors are connected with the driving electric cylinder through electric signals, and when the amount of concrete in the weighing barrel is insufficient, the driving electric cylinder drives the lifting plate to fall down, and concrete in the storage barrel falls into the weighing barrel.",en,,en
006-259-495-172-673,WO,2022-12-22,WO_2022266089_A1_20221222,PATENT_APPLICATION,WO,A1,2022-12-22,US,W,2022-06-14,2021-06-18,STAY-IN-PLACE CONCRETE FLOOR AND CEILING SYSTEM WITHOUT STEEL REINFORCING MADE FROM RECYCLED WIND BLADES,2,2,7.0,,US,"A building component system including a rigid plastic or fiberglass (FRP) form made from one of various shapes, an example of one such shape having an arch in each of two perpendicular vertical planes and having a plurality of protrusions configured to engage concrete poured on top of the rigid plastic form. The plastic is recycled plastic from wind turbine blades or consumer products such as plastic bottles. The plastic can be fiber reinforced such as an FRP (fiberglass reinforced plastic). The system also includes concrete poured on top of the form and cured to bind to the form at least at the plurality of protrusions, thereby forming an arched ceiling for a first story of a building and a flat roof or flat floor for a second story of a building. Bridge decking is another application, for use in infrastructure.",en,,en
006-444-588-240-879,US,2020-12-22,US_10870982_B2_20201222,GRANTED_PATENT,US,B2,2020-12-22,US,A,2019-10-31,2018-11-01,"Below grade waterproofing and methane barrier sheet membrane, with an aluminum protection layer and a method of making and using same",1,2,22.0,,US,"The invention is a below grade waterproofing and methane barrier sheet membrane with an aluminum facer and a method of making and using same, and more particularly the invention is directed to a dual layer system comprising of at least one bituminous moisture or waterproofing barrier sheet membrane with an aluminum facer or an aluminum layer that when combined is also a methane gas barrier, and is UV stable, that is used in construction of a building, and placed under, or around a foundation of a building or a dwelling or on its below grade retaining walls. Optionally, a liner and/or a drainage protection media can also be used with the inventive dual layer system.",en,{'value': 'RUDYAN AMIR SHY'},en
006-453-250-983-725,CN,2017-05-17,CN_106673477_A_20170517,PATENT_APPLICATION,CN,A,2017-05-17,CN,A,2016-12-25,2016-12-25,Preparation method of green concrete duct grouting material,1,3,5.0,3.0,CN,"The invention relates to a preparation method of a green concrete duct grouting material, and belongs to the technical field of the preparation of grouting materials. According to the preparation method, a hickory nut shell is first carbonized after being smashed, so as to improve the porosity of the hickory nut shell, and afterwards, is mixed with calcined spent bleaching clay; an obtained first mixture is modified by using a titanate coupling agent, so as to make modified mixed powder; afterwards, pulverized fuel ash is subjected to activation modification through a sodium hydroxide solution, so as to further improve the porosity and the specific surface area of the pulverized fuel ash, and is mixed with the modified mixed powder, hydroxyapatite and the like; an obtained second mixture is cured; ball milling is cooperated during a curing period; the reaction velocity and the flowing property of slurry in a hardening process of cement are improved; the continuous increment of the late swelling rate of a product is effectively maintained; through adding medical stone and the hydroxyapatite, the late strength of the hardened and dehydrated cement is improved; the invalidation is prevented; finally, an obtained third mixture is dried; the green concrete duct grouting material prepared by the preparation method has a 24h free swelling rate of 0.1 to 0.9 percent, and has a better swelling rate; the flowing property and the strength of the slurry are effectively improved.",en,,en
007-254-219-065-138,CN,2021-08-13,CN_213952486_U_20210813,LIMITED_PATENT,CN,U,2021-08-13,CN,U,2020-09-30,2020-09-30,Novel sea sand green concrete column,1,2,,,CN,"The utility model discloses a novel sea sand green concrete column which comprises a plurality of prefabricated concrete column single bodies arranged in a stacked mode, guide blocks are arranged at the upper ends of the prefabricated concrete column single bodies, guide grooves matched with the guide blocks are formed in the lower ends of the prefabricated concrete column single bodies, and connecting plates are arranged between every two adjacent concrete column single bodies. When the sea sand green concrete column is used, the two prefabricated concrete column single bodies can be connected together through the connecting plates, then the connecting position of the two prefabricated concrete column single bodies is reinforced through the hoops, the two adjacent prefabricated concrete column single bodies can be firmly connected together, and the sea sand green concrete column is rapidly assembled through the prefabricated concrete column single bodies. And meanwhile, the sea sand concrete and the steel bar frame form a prefabricated concrete column single body, so that mountain sand and river sand resources can be saved, and the concrete column is more environment-friendly.",en,,en
007-992-606-956-701,US,2021-12-23,US_20210395155_A1_20211223,PATENT_APPLICATION,US,A1,2021-12-23,US,A,2019-11-11,2018-11-14,CURABLE COMPOSITION FOR ALKALINE SUBSTRATES,1,2,,,EP,"Methods of using a curable composition, the curable composition including at least one polyether having blocked hydroxyl groups as the plasticizer on at least one alkaline substrate. The curable composition is storage-stable, easy to handle and highly elastic after curing, and does not show any tendency to separate or migrate. It enables elastic bonding, sealing or coating of alkaline substrates, such as, in particular, fresh or green concrete or cement mortar, without occurrence of troublesome odors triggered by plasticizer hydrolysis.",en,{'value': 'SIKA TECHNOLOGY AG'},en
008-479-072-211-797,CN,2022-02-01,CN_215694759_U_20220201,LIMITED_PATENT,CN,U,2022-02-01,CN,U,2021-07-26,2021-07-26,Gravel recovery device for green concrete production,1,4,,,CN,"The gravel recycling device for green concrete production comprises a collecting hopper arranged on the ground, a discharging opening is formed in the bottom of the collecting hopper, a collecting barrel is connected to the side face of the collecting hopper, a filter screen is installed in the collecting hopper, the filter screen is obliquely arranged, and a discharging opening is formed in the bottom of the collecting hopper. And the lowest end of the filter screen is arranged at the joint of the collecting barrel and the collecting hopper. The device has the effect of separating and recycling the aggregate.",en,,en
008-880-657-317-66X,AU,2021-03-25,AU_2019382199_A1_20210325,PATENT_APPLICATION,AU,A1,2021-03-25,AU,A,2019-11-11,2018-11-14,Curable composition for alkaline substrates,1,2,,,EP,"The invention relates to the use of a curable composition which contains at least one polyether having blocked hydroxyl groups as the plasticizer on at least one alkaline substrate. The curable composition is storage stable, easy to handle, highly resilient after curing, and does not display a tendency to separate or migrate. Said composition allows resilient adhesive bonding, sealing or coating of alkaline substrates, such as in particular fresh or green concrete or cement mortar, without the occurrence of intrusive odours caused by the saponification of the plasticizer.",en,,en
008-892-655-738-418,CN,2017-02-08,CN_205934902_U_20170208,LIMITED_PATENT,CN,U,2017-02-08,CN,U,2016-06-30,2016-06-30,But green concrete slab stake of regeneration,1,1,,,CN,"The utility model discloses a but green concrete slab stake of regeneration, but this concrete is recycled concrete, this sheet pile package rubbing board body, and first portion of inserting and the second portion of inserting bottom this plate body that be located, this first position in this first side in plate body bottom of inserting, this second inserts position in this plate body bottom second side, be equipped with in this sheet pile from inserting in this plate body to this interior first steel column of the first portion of inserting, and from inserting the interior second steel column to this second portion of inserting in this plate body, still be equipped with complex root third steel column in this plate body, this first steel column, the third steel column, connect through first billet between the second steel column, this first bottom of inserting is equipped with first toper pile head, this second inserts a bottom and is equipped with second toper pile head, this plate body top is reserved there is at least one lifting holes.",en,,en
009-202-967-478-067,US,2016-03-31,US_20160089812_A1_20160331,PATENT_APPLICATION,US,A1,2016-03-31,US,A,2014-09-29,2014-09-29,Saw Blade For Making Thin Cuts in Green Concrete,1,2,2.0,,US,A saw blade for rotating about an axis to cut green concrete may include a main body and a cutting portion. The main body includes an inner section and an outer section. The inner section has a first thickness in an axial direction that is greater than a second thickness of the outer section. The cutting portion includes a diamond-metal matrix joined to the outer section to cut a material responsive to rotation of the blade. The inner section extends radially outwardly from a center of the blade to a non-contact shoulder at the first thickness to transition to the outer section at the second thickness. The outer section extending radially outwardly to an outer diameter of the main body.,en,{'value': 'HUSQVARNA AB'},en
010-016-588-997-63X,CN,2020-12-08,CN_212104132_U_20201208,LIMITED_PATENT,CN,U,2020-12-08,CN,U,2020-04-09,2020-04-09,Cast-in-place greening concrete slope protection structure,1,1,,,CN,"The utility model relates to the technical field of buildings, in particular to a cast-in-place greening concrete slope protection structure which comprises a pair of movable bottom plates, a plurality of limiting sliding columns are arranged on the movable bottom plates, a plurality of rolling wheels are installed on the end faces of the outer sides of the movable bottom plates, a pouring formwork is connected between the two movable bottom plates in a lap joint mode, and a plurality of formwork frames are tightly welded to the middle of the pouring formwork. A filling block is arranged in the middle of the mold frame, a warped plate is installed on the movable bottom plate, a protruding column is tightly welded to the tail end of the warped plate, and the tail end of the protruding column penetrates through the movable bottom plate and is tightly welded with a holding rod. According to the cast-in-place greening concrete slope protection structure, the pouring template is attached tothe surface of the slope body, so that concrete can be directly poured and formed into the greening slope protection structure under the action of the pouring template, and the greening slope protection structure can be firmly connected with the slope surface while the shape of the slope surface is regular.",en,,en
010-685-796-706-17X,EP,2015-04-29,EP_2865822_A1_20150429,PATENT_APPLICATION,EP,A1,2015-04-29,EP,A,2013-10-24,2013-10-24,Anti-snaking swellable water-stops,1,3,11.0,,EP,"The invention provides an aqueously-swellable water stop having an elongate body formed by shaping or extruding a composition mixture comprising water swelling fillers and/or polymers (e.g. Bentonite, super absorbent polymers, hydrophilic polymers), at least one elastomer or polymer, and preferably at least one plasticizer, the composition mixture when formed into an elongate water stop body having a Shore A hardness (durometer) of less than 35 and more preferably in the range of 5-35 (measured at 21°C). The water stop body has at least one major face and a layer of pressure-sensitive adhesive attached to the face for bonding to a concrete substrate. The water stop of the invention does not require use of rigid metal and hard plastic inner cores as in prior water stop designs, and avoids curling and snaking that would allow concrete poured against the water stop to invade between the first substrate and the water stop body, and thereby providing full bonding between the water stop and thus protecting against leakage through concrete construction joints.",en,{'value': 'GCP APPLIED TECHNOLOGIES INC.'},en
011-034-753-576-931,US,2021-07-01,US_20210199181_A1_20210701,PATENT_APPLICATION,US,A1,2021-07-01,US,A,2020-12-29,2019-12-30,Double-Drive Backpack Power Unit,1,1,,,US,"A portable backpack-borne power unit used for concrete vibration and consolidation, that is switchable between left-handed and right-handed applications. The power unit can transmit motor-generated power to a variety of tools with various power cables known in the art. For concrete vibration, power is transmitted to a vibrator that is immersed within green concrete. The instant design enables the power connection at the power unit to be secured on either side of the backpack, effectively facilitating either left-handed or right-handed operation.",en,{'value': 'ISKCO LTD'},en
011-190-482-731-50X,US,2016-08-30,US_9428920_B2_20160830,GRANTED_PATENT,US,B2,2016-08-30,US,A,2014-10-24,2012-09-12,Veneer underlayment,1,2,51.0,4.0,US,"An underlayment includes a base layer having a base elevation and a series of individual supports extending upwardly from the base layer and being configured to create voids in a layer of bonding material used to adhere the veneer material to the underlayment. Each of the individual supports includes: at least one outer wall extending upwardly from the base layer and terminating at an upper lip, a bowl area defined adjacent a center of each of the individual supports and having a foot support defined at a bottom of the bowl area; and an internal wall extending downwardly and inwardly from the upper lip toward the foot support. An elevation of the foot support is substantially the same as an elevation of the base layer immediately adjacent the outer wall of each of the individual supports.",en,{'value': 'SCHLUTER SYSTEMS L.P'},de
011-592-305-978-802,WO,2022-05-27,WO_2022106320_A2_20220527,PATENT_APPLICATION,WO,A2,2022-05-27,EP,W,2021-11-12,2020-11-17,METHOD FOR THE REFURBISHMENT OF POROUS CONSTRUCTION MATERIALS,1,2,4.0,1.0,EP,"The invention relates to a method for the refurbishment of porous construction materials said method comprising the steps of - mixing water and a composition C, said composition C comprising, a) 100 mass parts of Portland Cement, b) 1 – 18 mass parts, preferably 1 – 10 mass parts, more preferably 1 – 7.5 mass parts, still more preferably 1 – 6 mass parts, especially 1 - 5 mass parts of calcined clay, c) optionally 10 - 250 mass parts of aggregates, - applying the mixture thus obtained to a porous construction material, and - optionally hardening the applied mixture. The invention also relates to a composition comprising Portland cement, calcined clay, and optionally aggregate to be used in a method for the refurbishment of porous construction materials.",en,,en
012-400-124-638-558,KR,2018-04-16,KR_20180038263_A_20180416,PATENT_APPLICATION,KR,A,2018-04-16,KR,A,2016-10-06,2016-10-06,CONCRETE COMPOSITION HAVING A HIGH DUALITY AND LOW CARBON AND METHOD FOR PRODUCING THE SAME,1,1,,,KR,"In a method for manufacturing a high-durability low-carbon concrete composition according to the present invention, water, blast furnace slag fine powder, coarse aggregate and fine aggregate are added to Portland cement which is pretreated to a predetermined size, and cured after combining a high performance AE water reducing agent. According to the method of the present invention, a high-durability low-carbon concrete composition satisfying a design strength of 24 MPa and a design strength of 50 MPa can be manufactured.",en,,en
012-812-821-707-281,CN,2018-01-12,CN_107572952_A_20180112,PATENT_APPLICATION,CN,A,2018-01-12,CN,A,2017-08-30,2017-08-30,Eco-concrete for plant growing as well as preparation and application thereof,1,6,4.0,1.0,CN,"The invention discloses eco-concrete for plant growing as well as preparation and application thereof. The phytogenic eco-concrete comprises 145-160 parts by weight of pumice stone, 240-250 parts by weight of macadam, 115-130 parts by weight of cement, 20-24 parts by weight of pulverized fuel ash, 0.6-0.8 parts by weight of a water reducing agent, 40-60 parts by weight of water and 20-30 parts byweight of iron tailing sand. A preparation method provided by the invention is simple in technology, wastes are changed into valuables, and industrial waste materials are recycled, thereby respondingto the national corresponding green construction call. The prepared eco-concrete is light in mass, and good in water and air permeability, thereby facilitating better growth of plants. The phytogeniceco-concrete can be applied to green belts around mine fields, urban highway green belts, urban leisure squares, sidewalks, green belts of residence communities, parking lots, roof gardens, highway isolation belts, and building wall virescence.",en,,en
013-733-298-969-180,CN,2022-03-01,CN_114101274_A_20220301,PATENT_APPLICATION,CN,A,2022-03-01,CN,A,2021-11-24,2021-11-24,Waste building crushing device for green concrete,1,1,,,CN,"The invention discloses a green concrete waste building crushing device which comprises a crushing device body, and the crushing device body comprises a crushing shell; through cooperation of the driving device and the upper centrifugal separation device, air flow passing through the feeding hopper flows in a spiral downward mode, raised dust in the air flow is promoted to do centrifugal motion, and therefore part of the raised dust in the air flow is separated out, and the burden of the filtering device is reduced; air flow passing through the material falling pipe flows in a spiral upward mode, raised dust in the air flow is promoted to do centrifugal motion, so that part of the raised dust in the air flow is separated out, the burden of the filtering device is reduced, the tubular dust filtering net is driven by the filtering device to rotate, and the raised dust attached to the surface of the tubular dust filtering net falls off under the action of centrifugal force; meshes in the tubular dust filter screen are prevented from being blocked, and the practicability of the waste building crushing device for the green concrete is improved.",en,,en
013-795-340-089-747,CN,2022-04-08,CN_216236735_U_20220408,LIMITED_PATENT,CN,U,2022-04-08,CN,U,2021-11-25,2021-11-25,Multi-type adaptive green concrete curing device,1,3,,,CN,"According to the technical scheme, the multi-type adaptive green concrete curing device comprises a bottom plate, a water tank is fixedly connected to the top of the bottom plate, a power mechanism is arranged in the water tank and extends out of the water tank, the power mechanism comprises a motor, and the output end of the motor is fixedly connected with a reciprocating lead screw; one side of the reciprocating lead screw penetrates through one side of the water tank and extends into the box body, one side of the water tank is provided with a first cavity, and the bottom plate is internally provided with a second cavity. The rainwater collecting device has the advantages that by additionally arranging the water tank, rainwater can be well collected, sundries falling into the water tank can be cleaned and collected, more resources are saved, and the rainwater collecting device is convenient to use. And meanwhile, the water outlet assembly is arranged, so that the spraying angle of water in the water tank can be well adjusted, concrete can be sprayed and maintained more comprehensively, manual spraying adjustment is avoided, and the labor intensity of workers is reduced.",en,,ro
014-965-061-702-321,CN,2018-12-25,CN_208280650_U_20181225,LIMITED_PATENT,CN,U,2018-12-25,CN,U,2018-06-04,2018-06-04,Reinforced (rfd) concrete column of steel pipe,1,5,,,CN,"The utility model discloses a reinforced (rfd) concrete column of steel pipe is keeping the rearmounted steel -pipe column of concrete column outside joining, the section contour of rearmounted steel-pipe column is greater than the section contour who remains the concrete column, but their cross sectional shape is the same, grouting layer has been filled in the rearmounted steel -pipe column, theutility model discloses a reinforced (rfd) concrete column of steel pipe can remain the requirement of satisfying the construction in more cross -section, obtains great bearing capacity through replacing less sectional area, satisfies the operation requirement of structure, guarantees old concrete and green concrete and the common atress of steel -pipe column, satisfies the safe handling of structure.",en,,en
016-341-337-682-841,EP,2017-06-21,EP_2467218_B2_20170621,GRANTED_PATENT,EP,B2,2017-06-21,EP,A,2010-08-23,2009-08-21,METHOD OF TREATING AN ALKALINE GRANULAR CARBONATABLE MATERIAL,1,4,6.0,4.0,BE,,unknown,"{'value': 'ORBIX SOLUTIONS, BE'}",en
016-407-585-098-512,US,2020-05-07,US_20200141112_A1_20200507,PATENT_APPLICATION,US,A1,2020-05-07,US,A,2019-10-31,2018-11-01,"BELOW GRADE WATERPROOFING AND METHANE BARRIER SHEET MEMBRANE, WITH AN ALUMINUM PROTECTION LAYER AND A METHOD OF MAKING AND USING SAME",1,2,,,US,"The invention is a below grade waterproofing and methane barrier sheet membrane with an aluminum facer and a method of making and using same, and more particularly the invention is directed to a dual layer system comprising of at least one bituminous moisture or waterproofing barrier sheet membrane with an aluminum facer or an aluminum layer that when combined is also a methane gas barrier, and is UV stable, that is used in construction of a building, and placed under, or around a foundation of a building or a dwelling or on its below grade retaining walls. Optionally, a liner and/or a drainage protection media can also be used with the inventive dual layer system.",en,{'value': 'RUDYAN AMIR SHY'},de
